Timestamp,Date,USDT,USDC,BUSD,DAI,FRAX,TUSD,USN,Total
1687737600,2023-06-26,19149048,33909032,103,2920828,,510,37813957,93793478
1687824000,2023-06-27,19027610,33700236,102,2928939,,509,37813951,93471347
1687910400,2023-06-28,19086263,33638058,103,2926016,,508,37813953,93464901
1687996800,2023-06-29,18945712,33413031,102,2922094,,509,37813955,93095403
1688083200,2023-06-30,18930830,33321153,102,2922499,,509,37813956,92989049
1688169600,2023-07-01,18855545,33287164,102,2921105,,509,37813957,92878382
1688256000,2023-07-02,18852242,33245418,102,2922728,,508,37813956,92834954
1688342400,2023-07-03,18860137,33302713,102,2923120,,509,37813956,92900537
1688428800,2023-07-04,18819894,33254976,102,2920740,,510,37813956,92810178
1688515200,2023-07-05,18959465,33258436,102,2922514,,510,37813956,92954983
1688601600,2023-07-06,18814622,33068997,102,2923131,,510,37813957,92621319
1688688000,2023-07-07,18812675,33006548,102,2919977,,509,37813957,92553768
1688774400,2023-07-08,18873692,33204513,102,2922777,,510,37813958,92815552
1688860800,2023-07-09,18870589,33189948,102,2922924,,510,37813957,92798030
1688947200,2023-07-10,18856217,33182619,102,2921458,,509,37813957,92774862
1689033600,2023-07-11,18862491,33158365,102,2921964,,509,37813957,92757388
1689120000,2023-07-12,18815940,33128482,102,2922197,,510,37813957,92681188
1689206400,2023-07-13,18819056,33006788,102,2923132,,509,37813957,92563544
1689292800,2023-07-14,18647887,32592397,102,2922222,,511,37813957,91977076
1689379200,2023-07-15,18597841,32581978,102,2921664,,510,37813956,91916051
1689465600,2023-07-16,18595640,32521909,102,2922226,,510,37813956,91854343
1689552000,2023-07-17,18576713,32285660,102,2925152,,510,37813956,91602093
1689638400,2023-07-18,18265362,31984360,102,2715664,,509,37813956,90779953
